City,Breakfast_Receivers,Lunch_Receivers,Dinner_Receivers,Snacks_Receivers
New Christopher,2,1,0,0
Smithshire,2,0,1,2
Lake Rebeccaton,2,0,1,0
Christopherchester,2,0,0,1
Lake Daniel,2,0,0,1
West Richard,1,2,0,0
East Michael,1,1,2,0
Port Dean,1,1,1,1
Bradleyland,1,1,1,0
Duncanchester,1,1,1,0
Lake Shawn,1,1,1,0
North Abigail,1,1,1,0
North Lydiaberg,1,1,1,0
North Matthewhaven,1,1,1,0
Port Dawntown,1,1,1,0
South Eric,1,1,1,0
West Amandaport,1,1,1,0
West Angelatown,1,1,1,0
Brownbury,1,1,0,1
Carlosfurt,1,1,0,1
Markfurt,1,1,0,1
North Ricardo,1,1,0,1
South Franciscoport,1,1,0,1
Bauerton,1,1,0,0
Birdview,1,1,0,0
Bradfurt,1,1,0,0
Brandonhaven,1,1,0,0
Brianchester,1,1,0,0
Cookhaven,1,1,0,0
Davisport,1,1,0,0
East Saraport,1,1,0,0
East Sheriton,1,1,0,0
Edwardsside,1,1,0,0
Hallton,1,1,0,0
Hansonfurt,1,1,0,0
Hornemouth,1,1,0,0
Huynhmouth,1,1,0,0
Isaiahtown,1,1,0,0
Lake Kevinport,1,1,0,0
New Brandyhaven,1,1,0,0
New Kevin,1,1,0,0
New Sarahmouth,1,1,0,0
New Steven,1,1,0,0
North Paul,1,1,0,0
Port Carlburgh,1,1,0,0
Port Dominique,1,1,0,0
Port Richard,1,1,0,0
Port Thomasstad,1,1,0,0
Reginaburgh,1,1,0,0
Sarahville,1,1,0,0
South Ashley,1,1,0,0
South Michelleshire,1,1,0,0
Thompsonhaven,1,1,0,0
West Jacquelineland,1,1,0,0
West Robert,1,1,0,0
Emilymouth,1,0,2,1
Dawsonberg,1,0,1,1
East Josephview,1,0,1,1
Greenton,1,0,1,1
Josephton,1,0,1,1
Lake Christychester,1,0,1,1
Paulaburgh,1,0,1,1
Port Deborahbury,1,0,1,1
Port Ericmouth,1,0,1,1
Spencermouth,1,0,1,1
Troyshire,1,0,1,1
West David,1,0,1,1
Barnesport,1,0,1,0
Brownville,1,0,1,0
Christophertown,1,0,1,0
Cruzborough,1,0,1,0
Danielfort,1,0,1,0
East Janetstad,1,0,1,0
East John,1,0,1,0
East Sharimouth,1,0,1,0
East Stevenborough,1,0,1,0
Jamesview,1,0,1,0
