City,Receiver_Count
New Christopher,3
Williamsfort,2
West Richard,2
West James,2
Stevenmouth,2
Spencermouth,2
South Mark,2
Smithshire,2
Sarahaven,2
Robertton,2
Port Samantha,2
Port Richard,2
Phillipston,2
North Lori,2
North Christina,2
New Derek,2
Moorechester,2
Markfurt,2
Longmouth,2
Lake Rebeccaton,2
Lake Mary,2
Lake Daniel,2
Kellybury,2
Josephton,2
Jenniferbury,2
Greenton,2
Emilymouth,2
East Michael,2
Davidmouth,2
Christopherchester,2
Brandonhaven,2
Ashleyborough,2
Allenmouth,2
Zacharyview,1
Wyattton,1
Wrightland,1
Woodsfurt,1
Woodardview,1
Wilsonshire,1
Wilsonfurt,1
Wilsonfort,1
Williamtown,1
Williamsborough,1
Whiteside,1
Westshire,1
Westport,1
West Victoriaberg,1
West Vickie,1
West Troyview,1
West Tina,1
West Shawn,1
West Sara,1
West Ronaldland,1
West Rogerview,1
West Robert,1
West Randall,1
West Paulfort,1
West Monica,1
West Mikayla,1
West Michaelton,1
West Meganmouth,1
West Matthewborough,1
West Mariashire,1
West Lindseyside,1
West Krystalview,1
West Kevin,1
West Kelly,1
West Justinberg,1
West Justin,1
West Juanchester,1
West Josephshire,1
West Josephland,1
West Jorge,1
West Johnny,1
West Johnmouth,1
West John,1
West Jessica,1
West Jeffreyfurt,1
West Jeffrey,1
West Jacquelineland,1
West Jacquelinefort,1
West Jacob,1
West Jaclyn,1
West Garretthaven,1
West Erik,1
West Dustinberg,1
West Donnaton,1
West Donaldmouth,1
West Davidview,1
West David,1
West Danielview,1
West Dan,1
West Courtneyport,1
West Christopher,1
West Christiantown,1
West Cherylland,1
West Casey,1
West Carrieport,1
West Carrieberg,1
West Carrie,1
West Brittany,1
West Bradley,1
West Barry,1
West Ashleymouth,1
West Angelatown,1
West Amybury,1
West Amandaport,1
West Aliciaburgh,1
West Alexandra,1
West Aaronport,1
West Aaronberg,1
Wardshire,1
Walshfort,1
Wagnerburgh,1
Victorton,1
Victoriastad,1
Vasquezberg,1
Vancebury,1
Tylermouth,1
Turnerhaven,1
Troyshire,1
Travishaven,1
Tomburgh,1
Toddstad,1
Toddborough,1
Tiffanyport,1
Thompsonhaven,1
Thomaston,1
Thomasport,1
Thomasland,1
Thomasberg,1
Theresamouth,1
Theresabury,1
Teresastad,1
Taylorport,1
Taylorfort,1
Taraside,1
Tanyachester,1
Swansonport,1
Suzanneton,1
Susanville,1
Susanview,1
Susanfurt,1
Strongshire,1
Steveberg,1
Stephenchester,1
Stephaniechester,1
Stephanieberg,1
South Yvettestad,1
South Yolanda,1
South Williamview,1
South William,1
South Waynefurt,1
South Veronicaburgh,1
South Tyler,1
South Tonyaborough,1
South Theresaberg,1
South Steven,1
South Shirleymouth,1
South Sheryl,1
South Shaneville,1
South Sandra,1
South Samanthaburgh,1
South Richard,1
South Randalltown,1
South Rachaelhaven,1
South Paul,1
South Nicoleberg,1
South Mirandamouth,1
South Michelleshire,1
South Michelleport,1
South Michaelfurt,1
South Michael,1
South Meganland,1
South Marymouth,1
South Mary,1
South Lucasview,1
South Lisa,1
South Lindsay,1
South Laurachester,1
South Kendraville,1
South Kathleenbury,1
South John,1
South Jill,1
South Jessicaburgh,1
South Jenniferburgh,1
South Jasonberg,1
South Jason,1
South Jasminechester,1
South Jamie,1
South Jamesfort,1
South Heather,1
South Gregorymouth,1
South Gabrielmouth,1
South Franciscoport,1
South Eric,1
South Emily,1
South Elizabeth,1
South Edwinborough,1
South Edwardburgh,1
South Edward,1
South Donaldshire,1
South Davidstad,1
South Craigborough,1
South Connorview,1
South Bethanyport,1
South Benjamin,1
South Barbaraburgh,1
South Ashley,1
South Anthonyside,1
South Anna,1
South Amybury,1
South Amy,1
South Alexandraport,1
South Alanville,1
Smithstad,1
Singletonview,1
Silvaport,1
Shortfort,1
Sherryhaven,1
Shermantown,1
Shelleyburgh,1
Shelbyland,1
Shelbychester,1
Shawmouth,1
Shawhaven,1
Sharpfurt,1
Shaneport,1
Seanside,1
Scottmouth,1
Scottbury,1
Schaeferfort,1
Sarahville,1
Sarahside,1
Sandratown,1
Sandrahaven,1
Sandovalmouth,1
Russellville,1
Russellburgh,1
Rushfurt,1
Rubioborough,1
Rosaleschester,1
Ronaldmouth,1
Rogersfort,1
Rogerburgh,1
Rodriguezborough,1
Rodneyport,1
Rodneyfurt,1
Rodneyborough,1
Robinsonside,1
Robinsonland,1
Robertville,1
Robertview,1
Roberttown,1
Robertsport,1
Robertsonchester,1
Robertside,1
Robertfurt,1
Robertaborough,1
Riverafort,1
Richardton,1
Reidton,1
Reginaburgh,1
Reevestown,1
Reedview,1
Rebeccaview,1
Rayfurt,1
Rayberg,1
Randyville,1
Ramseystad,1
Ramosberg,1
Ramirezhaven,1
Rachelberg,1
Proctorville,1
Princehaven,1
Priceborough,1
Powerston,1
Pottertown,1
Port Williamtown,1
Port Traci,1
Port Todd,1
Port Timothymouth,1
Port Thomasstad,1
Port Thomas,1
Port Terry,1
Port Teresa,1
Port Tara,1
Port Stephen,1
Port Shannonhaven,1
Port Seanshire,1
Port Sarah,1
Port Sara,1
Port Samanthamouth,1
Port Ronald,1
Port Robertmouth,1
Port Philipmouth,1
Port Peggyshire,1
Port Paulaton,1
Port Patriciachester,1
Port Michaelport,1
Port Michaelmouth,1
Port Melissa,1
Port Matthewmouth,1
Port Maryshire,1
Port Mariemouth,1
Port Maria,1
Port Margaretport,1
Port Marc,1
Port Kristinechester,1
Port Kellyburgh,1
Port Kellifort,1
Port Judith,1
Port Joshua,1
Port Jonathanton,1
Port Jonathanhaven,1
Port Johnstad,1
Port Johnside,1
Port Johnchester,1
Port Jessica,1
Port Jenniferborough,1
Port Jason,1
Port Gregoryport,1
Port Gregory,1
Port Gabrielleborough,1
Port Ericmouth,1
Port Erica,1
Port Emilymouth,1
Port Elizabethton,1
Port Dustin,1
Port Douglasland,1
Port Dominique,1
Port Dianemouth,1
Port Derekland,1
Port Deborahbury,1
Port Deborah,1
Port Dean,1
Port Dawntown,1
Port David,1
Port Curtisside,1
Port Courtneyland,1
Port Cody,1
Port Cindyberg,1
Port Chaseport,1
Port Carmen,1
Port Carlburgh,1
Port Caleb,1
Port Brianville,1
Port Brandonberg,1
Port Brandon,1
Port Belinda,1
Port Angelafurt,1
Port Amberfurt,1
Poolestad,1
Pooleside,1
Poolebury,1
Pittsville,1
Phillipsbury,1
Phillipborough,1
Petersonmouth,1
Peterhaven,1
Perryton,1
Perezport,1
Perezhaven,1
Paynestad,1
Payneland,1
Paulmouth,1
Paulaburgh,1
Patrickfort,1
Patriciaton,1
Patriciamouth,1
Pagemouth,1
Ortizmouth,1
Oneillland,1
Olsonville,1
Olsonland,1
